Id(0) | Название(1) | Тип(2) | Сечение/Ячейка(3) | Диаметр(4) | Высота листа, рулона/длина хлыста C(5) | Высота листа, рулона/длина хлыста Т(6)| Ширина листа/длина рулона С(7) | Ширина листа/длина рулона Т(8) | Толщина(9) | Цвет/Покрытие(10) | Цена С(11) | Цена Т(12) | Наличие С(13) | Наличие Т(14) | Примечание(15)

Покрытие:
П-AJEГЛВ; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1205.0; 0.35; Оцинкованный (неокрашенный); 836.0; 836.0; 1; 1; ;
П-AJFГЛВ; Профнастил; С8; ; ; 1900.0; 1900.0; ; 1205.0; 0.35; Оцинкованный (неокрашенный); 934.0; 934.0; 1; 1; ;
П-A8LГЛВ; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1200.0; 0.35; Оцинкованный (неокрашенный); ; 979.0; 1; 1; ;
П-C4UБ2; Профнастил; С8; ; ; 1500.0; 1500.0; ; 1205.0; 0.40; Оцинкованный (неокрашенный); 797.0; 797.0; 1; 1; ;
П-AFJГЛВ; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1200.0; 0.40; Оцинкованный (неокрашенный); 904.0; 900.0; 1; 1; ;
П-AJDГЛВ; Профнастил; С8; ; ; 1900.0; 1900.0; ; 1200.0; 0.40; Оцинкованный (неокрашенный); 1010.0; 1005.0; 1; 1; ;
П-A8MБ2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1200.0; 0.40; Оцинкованный (неокрашенный); 1063.0; 1058.0; 1; 1; ;
П-A8NБ2; Профнастил; С8; ; ; 2500.0; 2500.0; ; 1200.0; 0.40; Оцинкованный (неокрашенный); 1329.0; 1323.0; 1; 1; ;
П-A8VБ2; Профнастил; С8; ; ; 3000.0; 3000.0; ; 1200.0; 0.40; Оцинкованный (неокрашенный); 1594.0; 1588.0; 1; 1; ;
П-BDAБ2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.45; Оцинкованный (неокрашенный); 1193.0; ; 1; 1; ;
П-BDMБ2; Профнастил; С8; ; ; 2500.0; 2500.0; ; 1205.0; 0.45; Оцинкованный (неокрашенный); 1491.0; ; 1; 1; ;
П-BDNБ2; Профнастил; С8; ; ; 3000.0; 3000.0; ; 1205.0; 0.45; Оцинкованный (неокрашенный); 1789.0; ; 1; 1; ;
П-ABWГЛВ; Профнастил; С21; ; ; 2000.0; 2000.0; ; 1054.0; 0.40; Оцинкованный (неокрашенный); 1043.0; 1040.0; 1; 1; ;
П-ABXГЛВ; Профнастил; С21; ; ; 2500.0; 2500.0; ; 1054.0; 0.40; Оцинкованный (неокрашенный); 1304.0; 1301.0; 1; 1; ;
П-ABYГЛВ; Профнастил; С21; ; ; 3000.0; 3000.0; ; 1054.0; 0.40; Оцинкованный (неокрашенный); 1565.0; 1561.0; 1; 1; ;
П-C4AБ2; Профнастил; С21; ; ; 3000.0; 3000.0; ; 1054.0; 0.50; Оцинкованный (неокрашенный); 1809.0; ; 1; 1; ;
П-BG9ГЛВ; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.35; слон. кость 1014; 1212.0; 1212.0; 1; 1; ;
П-BGAГЛВ; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.40; слон. кость 1014; 1289.0; 1289.0; 1; 1; ;
П-AMLГЛВ; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1205.0; 0.35; красное вино 3005; 1031.0; 1031.0; 1; 1; ;
П-AMMГЛВ; Профнастил; С8; ; ; 1900.0; 1900.0; ; 1205.0; 0.35; красное вино 3005; 1031.0; 1031.0; 1; 1; ;
П-AFMГЛВ; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.35; красное вино 3005; 1212.0; 1212.0; 1; 1; ;
П-BATБ2; Профнастил; С8; ; ; 2000.0; 2000.0; ; 1205.0; 0.35; красное вино 3005; 930.0; ; 1; 1; ;
П-AMNГЛВ; Профнастил; С8; ; ; 1700.0; 1700.0; ; 1205.0; 0.40; красное вино 3005; 1096.0; 1096.0; 1; 1; ;
